,Population,Region,Region2,Region3,DenID,unpublished.vs.published,unpublished.vs.published2,Estimation_Method,Study,Date_median,Date_lowerrange,Date_upperrange,Lat,Long,Lat_lowerrange,Lat_upperrange,DOY,DOY_lowerrange,DOY_upperrange,Originaldataset
1,Indian,Indian,Indian,Indian,Mihir-1,unpublished,21,Cameratrap,,2/2/13,,,18.395,73.983,,,93,,,yes
2,Indian,Indian,Indian,Indian,Mihir-1,unpublished,21,Cameratrap,,2/5/14,,,18.395,73.983,,,95,,,yes
3,Indian,Indian,Indian,Indian,Mihir-2,unpublished,21,Cameratrap,,1/2/16,,,18.418,74.142,,,61,,,yes
4,Indian,Indian,Indian,Indian,Mihir-2,unpublished,21,Cameratrap,,1/18/17,,,18.418,74.142,,,78,,,yes
5,Indian,Indian,Indian,Indian,Mihir-3,unpublished,21,Cameratrap,,1/15/16,,,18.211,74.232,,,74,,,yes
6,Indian,Indian,Indian,Indian,Mihir-3,unpublished,21,Cameratrap,,12/19/17,,,18.211,74.232,,,50,,,yes
7,Indian,Indian,Indian,Indian,Mihir-3,unpublished,21,Cameratrap,,12/16/18,,,18.211,74.232,,,47,,,yes
8,Indian,Indian,Indian,Indian,Mihir-3,unpublished,21,Cameratrap,,12/28/19,,,18.211,74.232,,,59,,,yes
9,Indian,Indian,Indian,Indian,Mihir-3,unpublished,21,Cameratrap,,12/20/20,,,18.211,74.232,,,51,,,yes
10,Indian,Indian,Indian,Indian,Mihir-3,unpublished,21,Cameratrap,,1/5/22,,,18.211,74.232,,,64,,,yes
11,Indian,Indian,Indian,Indian,Mihir-4,unpublished,21,Cameratrap,,1/25/17,,,18.188,74.135,,,85,,,yes
12,Indian,Indian,Indian,Indian,Mihir-5,unpublished,21,Cameratrap,,2/14/20,,,18.361,74.098,,,104,,,yes
13,Indian,Indian,Indian,Indian,Mihir-5,unpublished,21,Cameratrap,,1/1/21,,,18.361,74.098,,,61,,,yes
14,Indian,Indian,Indian,Indian,Mihir-6,unpublished,21,Cameratrap,,2/14/20,,,18.153,74.823,,,104,,,yes
15,Indian,Indian,Indian,Indian,Mihir-6,unpublished,21,Cameratrap,,2/4/21,,,18.153,74.823,,,95,,,yes
