,Population,Region,Region2,WolfID,Study,unpublished.vs.published,Estimation_Method,Date_median,Date_lowerrange,Date_upperrange,Lat,Lat,Long,DOY,originalDOY,originalMatingDate,InFigure2,DOY_lowerrange,DOY_upperrange,Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,day_change_rate_mating,originalMatingDate_5days_before,originalMatingDate_5days_after,daylength_5_days_before,daylength_5_days_after,mating_daylength_change,PC1,PC2,daylength_original_matingdate,mean_ndvi,sd_ndvi
327,Portugal,Europe,Iberian,Rio-Maior-1,Rio-Maior,published,GPS,5/21/09,,,41.912064,41,-8.507271,203,143,78,,,,12.2458334,8.641666412,21.29999924,6.966666698,17.98333359,18.03333282,6.966666698,1586,49.99842453,-0.330591423,73,83,11.61431036,12.09657498,0.482264614,-3.099119782,0.756165967,11.85515653,0.726313043,0.099243641
328,Portugal,Europe,Iberian,Rio-Maior-2,Rio-Maior,published,GPS,5/28/10,,,41.912064,41,-8.507271,209,149,84,,,,12.2458334,8.641666412,21.29999924,6.966666698,17.98333359,18.03333282,6.966666698,1586,49.99842453,-0.331137516,79,89,11.90342502,12.38568964,0.482264614,-3.099119782,0.756165967,12.14484347,0.726313043,0.099243641
329,Portugal,Europe,Iberian,Rio-Maior-3,Rio-Maior,published,GPS,5/26/13,,,41.912064,41,-8.507271,208,148,83,,,,12.2458334,8.641666412,21.29999924,6.966666698,17.98333359,18.03333282,6.966666698,1586,49.99842453,-0.331190238,78,88,11.85515653,12.33761237,0.482455837,-3.099119782,0.756165967,12.09657498,0.726313043,0.099243641
56,Spain,Europe,Iberian,Llaneza-21,Llaneza,unpublished,GPS,5/16/14,5/16/14,5/17/14,42.56666667,42,-8.45,197,137,72,,,,12.32916641,8.525000572,20.19999886,7.366666794,17.73333359,17.95000076,7.366666794,1805,48.11662674,-0.336556499,67,77,11.31176465,11.80242586,0.490661208,-3.253498827,0.877542686,11.55621184,0.789708696,0.06943818
55,Spain,Europe,Iberian,Llaneza-20,Llaneza,unpublished,Litter removed,5/13/98,5/11/98,5/15/98,43,43,-7.983333333,194,134,69,,,,11.04583359,9.241666794,21.29999924,6.916666508,16.56666565,16.88333321,6.166666508,1662,44.58768845,-0.340087174,64,74,11.15358482,11.6492573,0.495672483,-3.029819234,1.026908549,11.40021639,0.797517391,0.054116521
44,Spain,Europe,Iberian,Llaneza-9,Llaneza,unpublished,Litter removed,5/17/88,5/14/88,5/20/88,43.1,43,-5.183333333,195,135,70,,,,7.345833302,7.941666603,23.5,1.966666698,14.63333321,14.63333321,0.99999994,1041,28.66612244,-0.342439703,65,75,11.19986123,11.69820771,0.498346474,-1.554931504,1.211000588,11.44793448,0.522117391,0.261301462
52,Spain,Europe,Iberian,Llaneza-17,Llaneza,unpublished,Litter removed,5/20/97,5/17/97,5/23/97,43.1,43,-7.85,202,142,77,,,,11.8791666,9.475000381,21.10000038,7.883333206,17.13333321,17.46666718,7.116666794,1514,43.90480042,-0.344418669,72,82,11.54783857,12.05034398,0.502505411,-2.993408885,0.83301307,11.79870155,0.65096087,0.110258666
37,Spain,Europe,Iberian,Llaneza-2,Llaneza,unpublished,Litter removed,5/12/81,5/10/81,5/15/81,43.13333333,43,-6,194,134,69,,,,9.045833588,8.791666985,23.09999847,4.016666412,15.73333359,15.86666679,3.183333397,1125,27.97829247,-0.341033211,64,74,11.14961082,11.64761616,0.498005342,-2.299430727,1.357210704,11.39740615,0.675621739,0.133489308
38,Spain,Europe,Iberian,Llaneza-3,Llaneza,unpublished,Litter removed,5/8/82,5/5/82,5/10/82,43.15,43,-6,189,129,64,,,,9.949999809,9.050000191,22.89999962,5,16.38333321,16.51666641,4.199999809,1049,27.54590225,-0.338003902,59,69,10.90471211,11.397054,0.492341884,-2.426326977,1.259144644,11.14911284,0.711026087,0.144585889
36,Spain,Europe,Iberian,Llaneza-1,Llaneza,unpublished,Litter removed,5/18/81,5/16/81,5/20/81,43.183333,43,-5.9,200,140,75,,,,8.191666603,8.449999809,22.79999924,3.216666698,15,15.14999962,2.383333445,1208,27.22083473,-0.344781288,70,80,11.44632004,11.94950905,0.503189008,-2.318964084,1.572795806,11.69732624,0.672095652,0.085900897
