Captive_vs_Wild,adjusted_DOBirthYOD
Captive,61
Captive,61
Captive,61
Captive,61
Captive,64
Captive,69
Captive,69
Captive,70
Captive,70
Captive,71
Captive,73
Captive,78
Captive,81
Captive,83
Captive,84
Captive,84
Captive,88
Captive,88
Captive,94
Captive,95
Captive,99
Captive,101
Captive,103
Captive,106
Captive,112
Captive,113
Captive,119
Captive,120
Captive,120
Captive,120
Captive,120
Captive,121
Captive,123
Captive,123
Captive,123
Captive,125
Captive,127
Captive,133
Captive,135
Captive,138
Captive,139
Captive,141
Captive,141
Captive,142
Captive,144
Captive,144
Captive,146
Captive,147
Captive,147
Captive,147
Captive,148
Captive,149
Captive,151
Captive,151
Captive,152
Captive,152
Captive,152
Captive,152
Captive,153
Captive,153
Captive,155
Captive,155
Captive,155
Captive,157
Captive,158
Captive,158
Captive,160
Captive,160
Captive,160
Captive,160
Captive,160
Captive,161
Captive,162
Captive,162
Captive,163
Captive,165
Captive,165
Captive,165
Captive,165
Captive,165
Captive,165
Captive,165
Captive,166
Captive,166
Captive,166
Captive,167
Captive,167
Captive,167
Captive,167
Captive,167
Captive,167
Captive,168
Captive,170
Captive,170
Captive,170
Captive,170
Captive,170
Captive,171
Captive,171
Captive,171
Captive,171
Captive,171
Captive,171
Captive,171
Captive,172
Captive,172
Captive,172
Captive,172
Captive,172
Captive,173
Captive,173
Captive,173
Captive,173
Captive,174
Captive,174
Captive,174
Captive,174
Captive,174
Captive,174
Captive,175
Captive,175
Captive,175
Captive,175
Captive,175
Captive,175
Captive,175
Captive,175
Captive,176
Captive,176
Captive,176
Captive,176
Captive,176
Captive,177
Captive,177
Captive,177
Captive,177
Captive,177
Captive,177
Captive,177
Captive,178
Captive,178
Captive,178
Captive,178
Captive,178
Captive,178
Captive,178
Captive,178
Captive,179
Captive,179
Captive,180
Captive,180
Captive,180
Captive,180
Captive,180
Captive,180
Captive,180
Captive,180
Captive,180
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,181
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,182
Captive,183
Captive,183
Captive,183
Captive,183
Captive,183
Captive,183
Captive,183
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,184
Captive,185
Captive,185
Captive,185
Captive,185
Captive,185
Captive,185
Captive,185
Captive,185
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,186
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,187
Captive,188
Captive,188
Captive,188
Captive,188
Captive,188
Captive,188
Captive,188
Captive,188
Captive,188
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,189
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,190
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,191
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,192
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
Captive,193
