Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,daylength_original_matingdate,mean_ndvi,sd_ndvi
26.4375,11.14166641,20,25.89999962,26.03333282,29.68333435,23.76666641,639,89.56575012,11.97759531,0.380934783,0.134518487
25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,11.93228267,0.433665217,0.145927316
25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,11.85736531,0.433665217,0.145927316
25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,11.97741445,0.433665217,0.145927316
25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,11.85736531,0.433665217,0.145927316
27.14999962,13.46666622,25.49999809,26.21666718,26.53333282,31.71666718,23.61666679,714,104.2347412,11.5683712,0.410721739,0.228092399
27.02916718,13.27499962,25.20000076,25.95000076,26.48333359,31.58333206,23.63333321,778,105.4631882,11.81897506,0.313573913,0.170051942
27.0625,13.25833321,25.19999886,25.96666718,26.51666641,31.66666603,23.64999962,761,105.3289185,11.19228268,0.357252174,0.196039636
25.72916603,13.24166679,25,25.21666718,24.63333321,29.71666718,22.26666641,520,97.17272949,10.92421321,0.317421739,0.140562134
25.72916603,13.24166679,25,25.21666718,24.63333321,29.71666718,22.26666641,520,97.17272949,10.97997291,0.317421739,0.140562134
25.14583397,12.97500038,23.80000114,24.36666679,24.31666756,28.71666718,22.31666565,488,89.90079498,11.0625728,0.366708696,0.152270378
25.75,13.86666679,25.60000038,25.19999886,24.81666565,29.66666794,22.39999962,461,93.18674469,11.41456978,0.354856522,0.136235391
25.3125,13.3083334,24.39999962,24.68333435,24.48333359,29,22.35000038,456,89.70028687,11.52560443,0.319517391,0.146193709
25.98333359,13.5,26.80000114,25.25,22.61666679,30.73333359,21.98333359,847,110.4765015,10.91521061,0.469513043,0.162288781
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.17382933,0.315134783,0.149193695
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.57489214,0.315134783,0.149193695
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.6251888,0.315134783,0.149193695
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.42935405,0.315134783,0.149193695
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.55830168,0.315134783,0.149193695
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.30880223,0.315134783,0.149193695
25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,11.77979255,0.311991304,0.145239463
25.29166603,13.51666641,24.90000153,24.76666641,24.35000038,28.98333359,22.18333244,455,90.16877747,11.09141519,0.290004348,0.105281486
25.44583321,13.84166718,25.70000076,24.98333359,24.35000038,29.28333282,22.06666565,453,91.59803009,10.91398819,0.388613043,0.119804125
25.44583321,13.84166718,25.70000076,24.98333359,24.35000038,29.28333282,22.06666565,453,91.59803009,11.33587028,0.388613043,0.119804125
25.3125,13.42499924,24.89999962,24.81666756,24.23333359,29.11666679,22.04999924,464,91.23462677,11.33223728,0.3201,0.157521831
25.3125,13.42499924,24.89999962,24.81666756,24.23333359,29.11666679,22.04999924,464,91.23462677,12.40354127,0.3201,0.157521831
24.47083282,13.5583334,25.10000038,23.78333282,23.54999924,28.18333435,21.36666679,553,91.35418701,10.91091599,0.317530435,0.135610936
24.47083282,13.5583334,25.10000038,23.78333282,23.54999924,28.18333435,21.36666679,553,91.35418701,11.3622816,0.317530435,0.135610936
25.15416718,13.50833321,24.89999962,24.66666603,24.18333435,28.86666679,21.98333359,462,89.71849823,11.62136966,0.310908696,0.121662655
25.15416718,13.50833321,24.89999962,24.66666603,24.18333435,28.86666679,21.98333359,462,89.71849823,11.27292133,0.310908696,0.121662655
23.63749886,13.02499962,24.40000153,22.88333321,22.73333359,27.31666565,20.66666603,783,106.0539093,10.97998792,0.276604348,0.135539506
23.63749886,13.02499962,24.40000153,22.88333321,22.73333359,27.31666565,20.66666603,783,106.0539093,10.95846098,0.276604348,0.135539506
24.66250038,13.39166641,24.89999962,24.08333397,23.60000038,28.31666565,21.5,509,89.59048462,11.34496344,0.319973913,0.142769233
