,Population,Region,Region2,WolfID,WolfID_2,unpublished.vs.published,Estimation_Method,Date_median,Date_lowerrange,Date_upperrange,Lat,Lat,Long,DOY,originalDOY,originalMatingDate,Annual_Mean_Temperature_bio1,Mean_Diurnal_Range_BIO2,Temperature_Annual_Range_BIO7,Mean_Temperature_of_Wettest_Quarter_BIO8,Mean_Temperature_of_Driest_Quarter_bio9,Mean_Temperature_of_Warmest_Quarter_BIO10,Mean_Temperature_of_Coldest_Quarter_bio11,Annual_Precipitation,Precipitation_Seasonality,day_change_rate_mating,originalMatingDate_5days_before,originalMatingDate_5days_after,daylength_5_days_before,daylength_5_days_after,mating_daylength_change,PC1,PC2,daylength_original_matingdate,mean_ndvi,sd_ndvi
357,Indian,Indian,Indian,Indrajit-2,,unpublished,Cameratrap,11/26/17,,,15.5172532,15,76.43975,26,330,265,26.4375,11.14166641,20,25.89999962,26.03333282,29.68333435,23.76666641,639,89.56575012,0.100653299,260,270,12.05226076,11.90303838,-0.149222386,-5.797683198,-1.905384627,11.97759531,0.380934783,0.134518487
353,Indian,Indian,Indian,Indrajit-1,,unpublished,Cameratrap,11/29/15,11/25/15,12/3/15,15.6364089,15,76.1498479,29,333,268,25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,0.10168025,263,273,12.007529,11.85736531,-0.150163688,-5.523822409,-1.729643131,11.93228267,0.433665217,0.145927316
354,Indian,Indian,Indian,Indrajit-1,,unpublished,Cameratrap,12/4/16,,,15.6364089,15,76.1498479,35,338,273,25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,0.101703661,268,278,11.93228267,11.78314962,-0.149133045,-5.523822409,-1.729643131,11.85736531,0.433665217,0.145927316
355,Indian,Indian,Indian,Indrajit-1,,unpublished,Cameratrap,11/26/19,,,15.6364089,15,76.1498479,26,330,265,25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,0.101464611,260,270,12.05268264,11.90225563,-0.150427009,-5.523822409,-1.729643131,11.97741445,0.433665217,0.145927316
356,Indian,Indian,Indian,Indrajit-1,,unpublished,Cameratrap,12/4/20,,,15.6364089,15,76.1498479,35,338,273,25.13750076,11.24166679,20.00000191,24.28333282,25.13333321,28.41666603,22.78333282,769,87.55051422,0.101703661,268,278,11.93228267,11.78314962,-0.149133045,-5.523822409,-1.729643131,11.85736531,0.433665217,0.145927316
344,Indian,Indian,Indian,Habib-6,,unpublished,Pup sighting - 1 pup around 45 days old seen on 05-02-2021,12/20/20,,,17.8228,17,75.8686,51,354,289,27.14999962,13.46666622,25.49999809,26.21666718,26.53333282,31.71666718,23.61666679,714,104.2347412,0.113725479,284,294,11.6502714,11.48878708,-0.161484323,-5.445251618,-2.743442078,11.5683712,0.410721739,0.228092399
342,Indian,Indian,Indian,Habib-4,,unpublished,Pup sighting - 4 Pups around 2 month old seen on 05-02-2020,12/5/20,,,17.8275,17,76.0495,36,339,274,27.02916718,13.27499962,25.20000076,25.95000076,26.48333359,31.58333206,23.63333321,778,105.4631882,0.116825252,269,279,11.90493223,11.73390611,-0.171026119,-5.640653591,-2.592920438,11.81897506,0.313573913,0.170051942
345,Indian,Indian,Indian,Habib-7,,unpublished,Camera trap - Pups confirmed through camera trap,1/15/21,,,17.8317,17,76.0109,75,15,315,27.0625,13.25833321,25.19999886,25.96666718,26.51666641,31.66666603,23.64999962,761,105.3289185,0.094331536,310,320,11.25583946,11.1342127,-0.121626758,-5.560506657,-2.660076605,11.19228268,0.357252174,0.196039636
14,Indian,Indian,Indian,Mihir-6,,unpublished,Cameratrap,2/14/20,,,18.153,18,74.823,104,46,346,25.72916603,13.24166679,25,25.21666718,24.63333321,29.71666718,22.26666641,520,97.17272949,0.04076057,341,351,10.94443004,10.91287867,-0.031551362,-5.43299772,-2.210431641,10.92421321,0.317421739,0.140562134
15,Indian,Indian,Indian,Mihir-6,,unpublished,Cameratrap,2/4/21,,,18.153,18,74.823,95,35,335,25.72916603,13.24166679,25,25.21666718,24.63333321,29.71666718,22.26666641,520,97.17272949,0.062057488,330,340,11.01848473,10.94951434,-0.068970386,-5.43299772,-2.210431641,10.97997291,0.317421739,0.140562134
11,Indian,Indian,Indian,Mihir-4,,unpublished,Cameratrap,1/25/17,,,18.188,18,74.135,85,25,325,25.14583397,12.97500038,23.80000114,24.36666679,24.31666756,28.71666718,22.31666565,488,89.90079498,0.081661053,320,330,11.11562396,11.01644781,-0.099176149,-5.318354146,-1.944435773,11.0625728,0.366708696,0.152270378
26,Indian,Indian,Indian,Mihir-12,,unpublished,Cameratrap,12/29/13,,,18.188,18,74.454,59,363,298,25.75,13.86666679,25.60000038,25.19999886,24.81666565,29.66666794,22.39999962,461,93.18674469,0.112452201,293,303,11.49361589,11.3389142,-0.154701687,-5.419283928,-2.126849711,11.41456978,0.354856522,0.136235391
346,Indian,Indian,Indian,Habib-5,,unpublished,Pup sighting - 4 pups observed in the den of around 2 month old,12/22/16,,,18.204,18,74.2335,53,-7,291,25.3125,13.3083334,24.39999962,24.68333435,24.48333359,29,22.35000038,456,89.70028687,0.115556712,286,296,11.60850119,11.44529212,-0.163209069,-5.34823195,-1.976044383,11.52560443,0.319517391,0.146193709
343,Indian,Indian,Indian,Habib-5,,unpublished,Pup sighting - 6 Pups around 4 month old seen on 16-06-2019,2/16/19,,,18.2058,18,76.2431,106,46,348,25.98333359,13.5,26.80000114,25.25,22.61666679,30.73333359,21.98333359,847,110.4765015,0.035731007,343,353,10.93195741,10.90746159,-0.024495827,-5.322521667,-2.694315815,10.91521061,0.469513043,0.162288781
5,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,1/15/16,,,18.211,18,74.232,74,14,315,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.097746112,310,320,11.2388481,11.11442124,-0.124426862,-5.339049995,-1.984808928,11.17382933,0.315134783,0.149193695
6,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,12/19/17,,,18.211,18,74.232,50,-8,288,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.117087241,283,293,11.65911635,11.4929293,-0.166187049,-5.339049995,-1.984808928,11.57489214,0.315134783,0.149193695
7,Indian,Indian,Indian,Mihir-3,,unpublished,Cameratrap,12/16/18,,,18.211,18,74.232,47,-13,285,25.32083321,13.29166698,24.39999962,24.68333435,24.5,29,22.35000038,457,89.77100372,0.117955941,280,290,11.71052229,11.54180581,-0.168716473,-5.339049995,-1.984808928,11.6251888,0.315134783,0.149193695
