name,latitude,longitude
Indrajit-2,15.5172532,76.43975
Indrajit-1,15.6364089,76.1498479
Indrajit-1,15.6364089,76.1498479
Indrajit-1,15.6364089,76.1498479
Indrajit-1,15.6364089,76.1498479
Habib-6,17.8228,75.8686
Habib-4,17.8275,76.0495
Habib-7,17.8317,76.0109
Mihir-6,18.153,74.823
Mihir-6,18.153,74.823
Mihir-4,18.188,74.135
Mihir-12,18.188,74.454
Habib-5,18.204,74.2335
Habib-5,18.2058,76.2431
Mihir-3,18.211,74.232
Mihir-3,18.211,74.232
Mihir-3,18.211,74.232
Mihir-3,18.211,74.232
Mihir-3,18.211,74.232
Mihir-3,18.211,74.232
Habib-3,18.2164,74.2274
Habib-5,18.229,74.242
Mihir-9,18.266,74.327
Mihir-9,18.266,74.327
Mihir-11,18.359,74.43
Mihir-11,18.359,74.43
Mihir-5,18.361,74.098
Mihir-5,18.361,74.098
Mihir-8,18.384,74.303
Mihir-8,18.384,74.303
Mihir-1,18.395,73.983
Mihir-1,18.395,73.983
Mihir-2,18.418,74.142
Mihir-2,18.418,74.142
Mihir-10,18.428,74.237
Mihir-10,18.428,74.237
Mihir-13,18.591,74.086
Mihir-7,18.747,74.034
Mihir-14,18.888,74.506
Habib-1,19.0294,74.477
Habib-2,19.2167,74.7191
Zafar-2,20.719524,40.839325
Jhala-1,22.045096,72.046524
Jhala-2,23.49909,69.948264
Zafar-1,24.244004,44.767246
Alireza-5,29.187506,50.803715
Alireza-19,29.898207,53.390412
Zafar-3,30.50946,39.169546
Alireza-25,31.555701,49.815322
Shivam-1,32.763177,78.996561
Alireza-27,32.939643,52.287921
Alireza-13,33.512214,49.442302
Alireza-33,33.524931,51.711832
Alireza-24,33.546567,47.962233
Alireza-23,33.549263,48.151527
Alireza-14,33.589575,47.963062
Alireza-30,33.671912,50.613114
Alireza-28,33.871108,54.594341
Surya-1,34.099086,77.835103
Alireza-31,34.190357,48.332092
Shivam-2,34.228376,77.749256
Alireza-1,34.678053,48.855706
Alireza-8,35.227134,59.448735
Alireza-7,35.251073,59.496624
Alireza-17,35.267439,57.927993
Alireza-2,35.326401,48.285241
Alireza-3,35.354865,48.238244
Alireza-4,35.926196,53.268373
Alireza-6,35.958526,47.52122
Alireza-20,35.958526,47.52122
Alireza-11,36.097772,49.127906
Alireza-21,36.237397,59.557637
Alireza-22,36.278128,59.488121
Alireza-10,36.293595,48.476716
Alireza-16,36.474152,52.101252
Alireza-18,36.635752,48.489148
Alireza-26,36.70919,55.658816
Alireza-26,36.70919,55.658816
Alireza-32,36.876218,56.781434
Alireza-15,37.036058,46.291049
Alireza-29,37.622918,45.194445
Alireza-12,38.299245,48.113387
Alireza-9,38.664927,44.763785
Rio-Maior-1,41.912064,-8.507271
Rio-Maior-2,41.912064,-8.507271
Rio-Maior-3,41.912064,-8.507271
Llaneza-21,42.56666667,-8.45
Llaneza-20,43,-7.983333333
Llaneza-9,43.1,-5.183333333
Llaneza-17,43.1,-7.85
Llaneza-2,43.13333333,-6
Llaneza-3,43.15,-6
Llaneza-1,43.183333,-5.9
Llaneza-8,43.18333333,-5.883333333
Lopezbao-4,43.187722,-5.899289
Llaneza-4,43.2,-5.933333333
Llaneza-10,43.23333333,-6.3
Llaneza-6,43.25,-6.65
Llaneza-13,43.25,-6.283333333
Llaneza-16,43.25,-4.116666667
Llaneza-19,43.25,-7.133333333
Llaneza-15,43.26666667,-6.083333333
Llaneza-7,43.3,-6.716666667
Llaneza-5,43.31666667,-6.716666667
Llaneza-12,43.31666667,-7.083333333
Llaneza-14,43.33333333,-7.033333333
Lopezbao-2,43.349828,-6.932772
Llaneza-11,43.38333333,-7.066666667
Lopezbao-3,43.391736,-6.685308
Lopezbao-1,43.440081,-6.613698
Llaneza-18,43.46666667,-7.55
Minnesota-5,48.3191994,-92.82908
Minnesota-3,48.3264524,-92.864119
Minnesota-9,48.374847,-93.652611
Minnesota-2,48.4004563,-92.690825
Minnesota-6,48.4066462,-92.982772
Minnesota-8,48.4066462,-92.982772
Minnesota-1,48.4073962,-92.911481
Minnesota-4,48.4110465,-92.991284
Minnesota-7,48.4131055,-92.701046
Schmidt-1,52.75,23.8
Schmidt-1,52.75,23.8
Schmidt-1,52.75,23.8
Schmidt-2,52.75,23.8
Schmidt-2,52.75,23.8
Schmidt-3,52.75,23.8
Schmidt-3,52.75,23.8
Schmidt-4,52.75,23.8
Schmidt-5,52.75,23.8
Schmidt-4,52.75,23.8
Mahoney-9,52.9705483,-117.69928
Mahoney-9,52.9705483,-117.69928
Mahoney-9,52.9705483,-117.69928
Mahoney-10,52.9705483,-117.69928
Mahoney-10,52.9705483,-117.69928
Mahoney-11,52.9705483,-117.69928
Mahoney-12,52.9705483,-117.69928
Mahoney-13,52.9705483,-117.69928
Mahoney-14,52.9705483,-117.69928
Mahoney-15,52.9705483,-117.69928
Mahoney-16,52.9705483,-117.69928
Mahoney-17,52.9705483,-117.69928
Mahoney-17,52.9705483,-117.69928
Mahoney-17,52.9705483,-117.69928
Mahoney-18,52.9705483,-117.69928
Mahoney-18,52.9705483,-117.69928
Mahoney-19,52.9705483,-117.69928
Mahoney-20,52.9705483,-117.69928
Mahoney-20,52.9705483,-117.69928
Mahoney-21,52.9705483,-117.69928
Mahoney-22,52.9705483,-117.69928
Mahoney-23,52.9705483,-117.69928
Mahoney-23,52.9705483,-117.69928
Mahoney-24,52.9705483,-117.69928
Mahoney-24,52.9705483,-117.69928
Mahoney-25,52.9705483,-117.69928
Mahoney-25,52.9705483,-117.69928
Mahoney-26,52.9705483,-117.69928
Mahoney-26,52.9705483,-117.69928
Mahoney-26,52.9705483,-117.69928
Mahoney-26,52.9705483,-117.69928
Mahoney-27,52.9705483,-117.69928
Mahoney-28,52.9705483,-117.69928
Mahoney-28,52.9705483,-117.69928
Mahoney-28,52.9705483,-117.69928
Mahoney-29,52.9705483,-117.69928
Mahoney-29,52.9705483,-117.69928
Mahoney-29,52.9705483,-117.69928
Mahoney-29,52.9705483,-117.69928
Mahoney-30,52.9705483,-117.69928
Alaska-8,55.43,-131.38
Alaska-1,55.75,-132.52
Alaska-3,55.75,-132.52
Alaska-4,55.76,-132.7
Mahoney-31,55.8598838,-112.96679
Mahoney-32,55.8598838,-112.96679
Mahoney-33,55.8598838,-112.96679
Mahoney-33,55.8598838,-112.96679
Mahoney-34,55.8598838,-112.96679
Mahoney-35,55.8598838,-112.96679
Mahoney-36,55.8598838,-112.96679
Mahoney-37,55.8598838,-112.96679
Alaska-2,55.87,-133.09
Hakan-12,57.174,15.917
Alaska-7,58.85,-134.81
Alaska-5,58.91,-134.92
Alaska-6,58.91,-134.92
Hakan-19,59.536,14.438
Hakan-9,59.576,14.033
Hakan-20,59.593,18.415
Hakan-4,59.614,12.001
Hakan-18,59.844,15.232
Hakan-17,59.955,15.233
Hakan-6,60.119,13.315
Hakan-10,60.177,14.064
Hakan-11,60.201,14.101
Hakan-1,60.226,14.041
Hakan-16,60.315,12.653
Hakan-5,60.316,13.644
Mahoney-67,60.4952859,-154.5812
Mahoney-67,60.4952859,-154.5812
Mahoney-67,60.4952859,-154.5812
Mahoney-68,60.4952859,-154.5812
Mahoney-68,60.4952859,-154.5812
Mahoney-69,60.4952859,-154.5812
Mahoney-69,60.4952859,-154.5812
Mahoney-70,60.4952859,-154.5812
Mahoney-70,60.4952859,-154.5812
Mahoney-71,60.4952859,-154.5812
Mahoney-72,60.4952859,-154.5812
Hakan-21,60.529,12.454
Mahoney-101,60.8806033,-116.11118
Mahoney-102,60.8806033,-116.11118
Mahoney-103,60.8806033,-116.11118
Mahoney-104,60.8806033,-116.11118
Mahoney-104,60.8806033,-116.11118
Mahoney-105,60.8806033,-116.11118
Mahoney-106,60.8806033,-116.11118
Hakan-8,60.987,15.598
Hakan-13,61.371,13.096
Hakan-24,61.418,11.188
Hakan-14,61.424,12.928
Hakan-2,61.451,11.354
Hakan-3,61.457,11.496
Hakan-23,61.533,11.644
Hakan-15,61.572,16.078
Hakan-25,61.584,11.42
Hakan-22,61.662,15.549
Hakan-7,61.756,10.922
Mahoney-1,62.408363,-146.81178
Mahoney-2,62.408363,-146.81178
Mahoney-3,62.408363,-146.81178
Mahoney-4,62.408363,-146.81178
Mahoney-4,62.408363,-146.81178
Mahoney-5,62.408363,-146.81178
Mahoney-6,62.408363,-146.81178
Mahoney-6,62.408363,-146.81178
Mahoney-7,62.408363,-146.81178
Mahoney-8,62.408363,-146.81178
Mahoney-38,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-39,63.6352304,-150.48638
Mahoney-40,63.6352304,-150.48638
Mahoney-41,63.6352304,-150.48638
Mahoney-41,63.6352304,-150.48638
Mahoney-42,63.6352304,-150.48638
Mahoney-43,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-44,63.6352304,-150.48638
Mahoney-45,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-46,63.6352304,-150.48638
Mahoney-47,63.6352304,-150.48638
Mahoney-47,63.6352304,-150.48638
Mahoney-48,63.6352304,-150.48638
Mahoney-48,63.6352304,-150.48638
Mahoney-48,63.6352304,-150.48638
Mahoney-49,63.6352304,-150.48638
Mahoney-50,63.6352304,-150.48638
Mahoney-51,63.6352304,-150.48638
Mahoney-52,63.6352304,-150.48638
Mahoney-52,63.6352304,-150.48638
Mahoney-52,63.6352304,-150.48638
Mahoney-53,63.6352304,-150.48638
Mahoney-53,63.6352304,-150.48638
Mahoney-53,63.6352304,-150.48638
Mahoney-54,63.6352304,-150.48638
Mahoney-54,63.6352304,-150.48638
Mahoney-54,63.6352304,-150.48638
Mahoney-55,63.6352304,-150.48638
Mahoney-56,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-57,63.6352304,-150.48638
Mahoney-58,63.6352304,-150.48638
Mahoney-59,63.6352304,-150.48638
Mahoney-60,63.6352304,-150.48638
Mahoney-60,63.6352304,-150.48638
Mahoney-60,63.6352304,-150.48638
Mahoney-60,63.6352304,-150.48638
Mahoney-60,63.6352304,-150.48638
Mahoney-60,63.6352304,-150.48638
Mahoney-61,63.6352304,-150.48638
Mahoney-61,63.6352304,-150.48638
Mahoney-62,63.6352304,-150.48638
Mahoney-62,63.6352304,-150.48638
Mahoney-63,63.6352304,-150.48638
Mahoney-64,63.6352304,-150.48638
Mahoney-64,63.6352304,-150.48638
Mahoney-65,63.6352304,-150.48638
Mahoney-65,63.6352304,-150.48638
Mahoney-65,63.6352304,-150.48638
Mahoney-65,63.6352304,-150.48638
Mahoney-65,63.6352304,-150.48638
Mahoney-66,63.6352304,-150.48638
Mahoney-73,65.046937,-143.22796
Mahoney-74,65.046937,-143.22796
Mahoney-74,65.046937,-143.22796
Mahoney-74,65.046937,-143.22796
Mahoney-74,65.046937,-143.22796
Mahoney-74,65.046937,-143.22796
