Lat,Date,Day_length,yday,mating,mday_len
18,1/1/11,11.06729257,1,0,NA
19,1/1/11,11.00437749,1,0,NA
43,1/1/11,9.058327162,1,0,NA
24,1/1/11,10.6766987,1,1,10.6766987
21,1/1/11,10.87611573,1,0,NA
31,1/1/11,10.16802796,1,0,NA
60,1/1/11,6.009749745,1,0,NA
61,1/1/11,5.682422119,1,0,NA
62,1/1/11,5.316239829,1,0,NA
57,1/1/11,6.823491832,1,0,NA
56,1/1/11,7.052713737,1,0,NA
59,1/1/11,6.305648246,1,0,NA
55,1/1/11,7.265730405,1,0,NA
53,1/1/11,7.651001094,1,0,NA
64,1/1/11,4.418788312,1,0,NA
65,1/1/11,3.843068986,1,0,NA
68,1/1/11,0,1,0,NA
42,1/1/11,9.167939104,1,0,NA
48,1/1/11,8.438669728,1,0,NA
22,1/1/11,10.81064621,1,0,NA
23,1/1/11,10.74419713,1,0,NA
33,1/1/11,10.00816815,1,0,NA
34,1/1/11,9.925236061,1,0,NA
16,1/1/11,11.19097737,1,0,NA
35,1/1/11,9.840114017,1,0,NA
36,1/1/11,9.752646073,1,0,NA
29,1/1/11,10.32072402,1,0,NA
39,1/1/11,9.474397818,1,0,NA
38,1/1/11,9.569980541,1,0,NA
37,1/1/11,9.662662974,1,0,NA
30,1/1/11,10.24521281,1,0,NA
32,1/1/11,10.08905433,1,0,NA
18,1/2/11,11.071358,2,0,NA
19,1/2/11,11.00869435,2,0,NA
43,1/2/11,9.070947436,2,0,NA
24,1/2/11,10.68233709,2,0,NA
21,1/2/11,10.88094735,2,0,NA
31,1/2/11,10.17576678,2,0,NA
60,1/2/11,6.040437273,2,0,NA
61,1/2/11,5.715833605,2,0,NA
62,1/2/11,5.353013235,2,0,NA
57,1/2/11,6.84829744,2,0,NA
56,1/2/11,7.076045191,2,0,NA
59,1/2/11,6.33406517,2,0,NA
55,1/2/11,7.287750686,2,0,NA
53,1/2/11,7.67077677,2,0,NA
64,1/2/11,4.465717836,2,0,NA
65,1/2/11,3.898629214,2,0,NA
68,1/2/11,0,2,0,NA
42,1/2/11,9.18005395,2,0,NA
48,1/2/11,8.454271661,2,0,NA
22,1/2/11,10.81574181,2,0,NA
23,1/2/11,10.74956153,2,0,NA
33,1/2/11,10.01658201,2,0,NA
34,1/2/11,9.934003332,2,0,NA
16,1/2/11,11.19455041,2,0,NA
35,1/2/11,9.849246447,2,0,NA
36,1/2/11,9.762156386,2,0,NA
29,1/2/11,10.32782516,2,0,NA
39,1/2/11,9.485129546,2,0,NA
38,1/2/11,9.580289233,2,0,NA
37,1/2/11,9.672564974,2,0,NA
30,1/2/11,10.25262847,2,0,NA
32,1/2/11,10.09712564,2,0,NA
18,1/3/11,11.07580423,3,0,NA
19,1/3/11,11.01341551,3,0,NA
43,1/3/11,9.084740659,3,0,NA
24,1/3/11,10.68850312,3,0,NA
21,1/3/11,10.88623135,3,0,NA
31,1/3/11,10.18422866,3,0,NA
60,1/3/11,6.073861106,3,0,NA
61,1/3/11,5.752196349,3,0,NA
62,1/3/11,5.392993433,3,0,NA
57,1/3/11,6.875353786,3,0,NA
56,1/3/11,7.101501605,3,0,NA
59,1/3/11,6.365034236,3,0,NA
55,1/3/11,7.311782826,3,0,NA
53,1/3/11,7.692368192,3,0,NA
64,1/3/11,4.516550705,3,0,NA
65,1/3/11,3.958580346,3,0,NA
68,1/3/11,0,3,0,NA
42,1/3/11,9.19329551,3,0,NA
48,1/3/11,8.471317277,3,0,NA
22,1/3/11,10.82131441,3,0,NA
23,1/3/11,10.755428,3,0,NA
33,1/3/11,10.02578154,3,0,NA
34,1/3/11,9.943589002,3,0,NA
16,1/3/11,11.19845821,3,0,NA
35,1/3/11,9.859231065,3,0,NA
36,1/3/11,9.772553816,3,0,NA
29,1/3/11,10.33559012,3,0,NA
39,1/3/11,9.496861016,3,0,NA
38,1/3/11,9.59155871,3,0,NA
37,1/3/11,9.683390256,3,0,NA
30,1/3/11,10.26073717,3,0,NA
32,1/3/11,10.10595086,3,0,NA
18,1/4/11,11.08062761,4,0,NA
